id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
50414214,Lovely Spacious 2Kings Beds Dwntwn |Deep Ellum|,District 2,32.80603,-96.77336,Entire rental unit,Entire home/apt,6,1.0,3.0,113.0,1,1,3.88,3.88,3.88,4.0,3.88,3.63,3.75,True,339857476
50546657,Everything you need | 2 BR in Dallas,District 14,32.80957,-96.79413,Entire serviced apartment,Entire home/apt,5,2.0,2.0,239.0,30,365,,,,,,,,True,358058606
50546682,Everything you need | 2 BR in Dallas,District 14,32.80809,-96.79373,Entire serviced apartment,Entire home/apt,5,2.0,2.0,238.0,30,365,,,,,,,,True,358058606
50559149,Homey 1BR Apt |Near DT|Deep Ellum|LowerGreenville,District 2,32.8028,-96.77121,Entire rental unit,Entire home/apt,4,1.0,2.0,106.0,1,1125,5.0,5.0,4.85,5.0,5.0,4.69,4.54,False,381968845
50590475,Home Away From Home Oasis * Free Parking*Pool*GYM,District 11,32.92547,-96.77661,Entire rental unit,Entire home/apt,4,1.0,1.0,117.0,1,90,4.96,5.0,4.96,4.79,4.92,4.71,4.83,False,408744362
50655752,*Spacious  Condo / Perfect for travel nurse.,District 3,32.69906,-96.89952,Entire condo,Entire home/apt,6,2.0,1.0,134.0,1,1125,,,,,,,,False,83327719
50794422,LUXURIOUS MODERN Downtown Dallas. West Dallas Home,District 6,32.78439,-96.84645,Entire home,Entire home/apt,6,2.0,4.0,205.0,2,10,4.65,4.85,4.95,5.0,4.8,3.9,4.8,True,187435977
51001996,Royale Blue Modern Home |Downtown |Deep Ellum |2BR,District 2,32.80642,-96.77445,Entire rental unit,Entire home/apt,8,2.0,4.0,203.0,1,1125,3.67,3.67,3.42,4.17,4.25,3.83,3.33,True,339857476
51015479,Beautiful 1 BR King | | Downtown Dallas | Free Valet Parking,District 2,32.77694,-96.79502,Entire rental unit,Entire home/apt,4,2.0,3.0,100.0,2,365,4.69,4.72,4.75,4.75,4.88,4.84,4.78,True,229096489
51070853,Inviting Condo by the Lake w/ Yard & Parking,District 14,32.81315,-96.73449,Entire condo,Entire home/apt,4,1.0,1.0,119.0,84,365,4.93,5.0,4.8,4.93,5.0,5.0,5.0,False,35999704
51073259,New Listing!!! Modern Boho Chic Travelers Haven,District 11,32.88492,-96.77277,Entire condo,Entire home/apt,5,2.0,3.0,130.0,30,1125,4.5,4.5,5.0,5.0,5.0,5.0,4.5,True,356896257
51214755,FAMILY FUN 2/2 Apt at White Rock Lake,District 9,32.83069,-96.70536,Entire rental unit,Entire home/apt,5,2.0,2.0,229.0,1,7,3.33,2.67,3.0,4.0,5.0,3.67,3.0,False,342240389
51233733,Walk Everywhere! 1BR Uptown Corner Unit | Gym+Pool,District 14,32.80553,-96.79484,Entire rental unit,Entire home/apt,4,1.0,2.0,142.0,6,365,4.5,4.63,4.25,4.5,4.88,5.0,4.63,False,372645485
51250562,5 Min From DownTown Luxury 1 Bedroom / King Suite,District 2,32.82742,-96.84745,Entire rental unit,Entire home/apt,4,1.0,1.0,130.0,1,150,4.86,5.0,4.71,4.57,5.0,5.0,5.0,True,414947138
51264907,"Casa Indigo: Extended Stays, Pets OK, Fenced yard!",District 1,32.753323,-96.837936,Entire home,Entire home/apt,6,2.0,4.0,193.0,2,120,5.0,5.0,5.0,5.0,5.0,5.0,4.77,False,56393267
